Date,Open,High,Low,Close,Adj Close,Volume
2023-02-21,93.239998,93.415001,92.000000,92.050003,92.050003,28367200
2023-02-22,91.933998,92.360001,90.870003,91.800003,91.800003,29891100
2023-02-23,92.129997,92.129997,90.010002,91.070000,91.070000,32423700
2023-02-24,89.629997,90.129997,88.860001,89.349998,89.349998,31295600
2023-02-27,90.089996,90.449997,89.610001,90.099998,90.099998,22724300
2023-02-28,89.540001,91.449997,89.519997,90.300003,90.300003,30546900
2023-03-01,90.160004,91.199997,89.849998,90.510002,90.510002,26323900
2023-03-02,89.860001,92.480003,89.769997,92.309998,92.309998,23328600
2023-03-03,92.739998,94.110001,92.660004,94.019997,94.019997,30242500
2023-03-06,94.360001,96.300003,94.300003,95.580002,95.580002,28288200
2023-03-07,95.419998,96.089996,93.844002,94.169998,94.169998,24101500
2023-03-08,94.404999,96.239998,94.404999,94.650002,94.650002,25395200
2023-03-09,94.489998,95.919998,92.355003,92.660004,92.660004,24438900
2023-03-10,92.500000,93.180000,90.800003,91.010002,91.010002,32850100
2023-03-13,90.565002,93.080002,89.940002,91.660004,91.660004,31508600
2023-03-14,93.070000,94.830002,92.779999,94.250000,94.250000,32303900
2023-03-15,93.540001,97.250000,93.040001,96.550003,96.550003,38367300
2023-03-16,96.570000,101.970001,95.870003,101.070000,101.070000,54499500
2023-03-17,100.839996,103.489998,100.750000,102.459999,102.459999,76140300
2023-03-20,101.059998,102.580002,100.790001,101.930000,101.930000,26033900
2023-03-21,101.980003,105.959999,101.860001,105.839996,105.839996,33122800
2023-03-22,105.139999,107.510002,104.209999,104.220001,104.220001,32336900
2023-03-23,105.889999,107.100998,105.410004,106.260002,106.260002,31385800
2023-03-24,105.739998,106.160004,104.739998,106.059998,106.059998,25236200
2023-03-27,105.320000,105.400002,102.629997,103.059998,103.059998,25393400
2023-03-28,103.000000,103.000000,100.279999,101.360001,101.360001,24913500
2023-03-29,102.720001,102.820000,101.029999,101.900002,101.900002,26148300
2023-03-30,101.440002,101.610001,100.290001,101.320000,101.320000,25009800
2023-03-31,101.709999,104.190002,101.440002,104.000000,104.000000,28108000
2023-04-03,102.669998,104.949997,102.379997,104.910004,104.910004,20719900
2023-04-04,104.839996,106.099998,104.599998,105.120003,105.120003,20377200
2023-04-05,106.120003,106.540001,104.101997,104.949997,104.949997,21864200
2023-04-06,105.769997,109.629997,104.815002,108.900002,108.900002,34684200
2023-04-10,107.389999,107.970001,105.599998,106.949997,106.949997,19741500
2023-04-11,106.919998,107.220001,105.279999,106.120003,106.120003,18721300
2023-04-12,107.389999,107.586998,104.970001,105.220001,105.220001,22761600
2023-04-13,106.470001,108.264999,106.440002,108.190002,108.190002,21650700
2023-04-14,107.690002,109.580002,107.589996,109.459999,109.459999,20758700
2023-04-17,105.430000,106.709999,105.320000,106.419998,106.419998,29043400
2023-04-18,107.000000,107.050003,104.779999,105.120003,105.120003,17641400
2023-04-19,104.214996,105.724998,103.800003,105.019997,105.019997,16732000
2023-04-20,104.650002,106.888000,104.639999,105.900002,105.900002,22515300
2023-04-21,106.089996,106.639999,105.485001,105.910004,105.910004,22379000
2023-04-24,106.050003,107.320000,105.360001,106.779999,106.779999,21410900
2023-04-25,106.610001,107.440002,104.559998,104.610001,104.610001,31408100
2023-04-26,105.559998,107.019997,103.269997,104.449997,104.449997,37068200
2023-04-27,105.230003,109.150002,104.419998,108.370003,108.370003,38235200
2023-04-28,107.800003,108.290001,106.040001,108.220001,108.220001,23957900
2023-05-01,107.720001,108.680000,107.500000,107.709999,107.709999,20926300
2023-05-02,107.660004,107.730003,104.500000,105.980003,105.980003,20343100
2023-05-03,106.220001,108.129997,105.620003,106.120003,106.120003,17116300
2023-05-04,106.160004,106.300003,104.699997,105.209999,105.209999,19780600
2023-05-05,105.320000,106.440002,104.738998,106.214996,106.214996,20705300
2023-05-08,105.794998,108.419998,105.790001,108.239998,108.239998,17266000
2023-05-09,108.779999,110.595001,107.724998,107.940002,107.940002,24782400
2023-05-10,108.550003,113.510002,108.480003,112.279999,112.279999,47533500
2023-05-11,115.860001,118.440002,114.930000,116.900002,116.900002,57115100
2023-05-12,117.000000,118.260002,116.550003,117.919998,117.919998,31272500
2023-05-15,116.489998,118.794998,116.480003,116.959999,116.959999,22107900
2023-05-16,116.830002,121.199997,116.830002,120.089996,120.089996,32370100
2023-05-17,120.180000,122.279999,119.459999,121.480003,121.480003,26659600
2023-05-18,121.559998,123.900002,121.489998,123.519997,123.519997,27014500
2023-05-19,124.199997,126.478996,122.720001,123.250000,123.250000,30251300
2023-05-22,123.510002,127.050003,123.449997,125.870003,125.870003,29760200
2023-05-23,124.930000,125.419998,123.050003,123.290001,123.290001,24477900
2023-05-24,121.879997,122.750000,120.750000,121.639999,121.639999,23087900
2023-05-25,125.209999,125.980003,122.900002,124.349998,124.349998,33812700
2023-05-26,124.065002,126.000000,123.290001,125.430000,125.430000,25154700
2023-05-30,126.290001,126.379997,122.889999,124.639999,124.639999,27230700
2023-05-31,123.699997,124.900002,123.099998,123.370003,123.370003,41548800
2023-06-01,123.500000,125.040001,123.300003,124.370003,124.370003,25017700
2023-06-02,124.489998,126.745003,124.349998,125.230003,125.230003,19362400
2023-06-05,124.610001,127.989998,124.379997,126.629997,126.629997,22672500
2023-06-06,126.599998,128.880005,125.970001,127.910004,127.910004,19450100
2023-06-07,127.574997,129.550003,122.629997,122.940002,122.940002,34179300
2023-06-08,122.584999,123.730003,122.010002,122.669998,122.669998,24815000
2023-06-09,122.559998,124.285004,122.419998,122.870003,122.870003,20304500
2023-06-12,123.394997,124.750000,122.349998,124.349998,124.349998,22255700
2023-06-13,125.650002,125.860001,123.845001,124.430000,124.430000,19287700
2023-06-14,123.800003,124.790001,122.160004,124.379997,124.379997,24659600
2023-06-15,123.879997,126.160004,123.139999,125.790001,125.790001,24517100
2023-06-16,126.699997,126.699997,123.790001,124.059998,124.059998,56686800
2023-06-20,123.535004,125.175003,122.830002,123.849998,123.849998,22698000
2023-06-21,123.235001,123.410004,120.860001,121.260002,121.260002,22612000
2023-06-22,120.660004,123.934998,119.599998,123.870003,123.870003,20781900
2023-06-23,122.040001,123.440002,121.860001,123.019997,123.019997,29542900
2023-06-26,121.466003,122.720001,118.989998,119.089996,119.089996,23185000
2023-06-27,117.839996,119.894997,116.910004,119.010002,119.010002,27221700
2023-06-28,117.959999,121.269997,117.599998,121.080002,121.080002,19753100
2023-06-29,120.089996,120.910004,119.209999,120.010002,120.010002,18517500
2023-06-30,121.099998,122.029999,120.879997,120.970001,120.970001,23865800
2023-07-03,120.320000,121.019997,119.705002,120.559998,120.559998,13888300
2023-07-05,120.059998,123.370003,120.059998,122.629997,122.629997,17830300
2023-07-06,120.639999,121.150002,119.250000,120.930000,120.930000,17732500
2023-07-07,120.889999,121.750000,120.089996,120.139999,120.139999,20982400
2023-07-10,119.070000,119.070000,116.639999,116.870003,116.870003,32960100
2023-07-11,116.760002,118.224998,115.830002,117.709999,117.709999,18286600
2023-07-12,119.300003,120.959999,119.000000,119.620003,119.620003,22059600
2023-07-13,121.540001,125.334999,121.059998,124.830002,124.830002,31535900
2023-07-14,125.129997,127.089996,124.900002,125.699997,125.699997,20482800
2023-07-17,126.059998,127.279999,124.500000,125.059998,125.059998,20675300
2023-07-18,124.904999,124.989998,123.300003,124.080002,124.080002,21071200
2023-07-19,124.790001,125.470001,122.470001,122.779999,122.779999,22313800
2023-07-20,122.120003,124.699997,118.684998,119.529999,119.529999,27541700
2023-07-21,120.870003,121.300003,119.070000,120.309998,120.309998,56498100
2023-07-24,121.926003,123.349998,121.379997,121.879997,121.879997,22276100
2023-07-25,121.879997,123.690002,121.529999,122.790001,122.790001,31820800
2023-07-26,130.360001,131.369995,128.710007,129.660004,129.660004,46216900
2023-07-27,131.800003,133.600006,129.179993,129.869995,129.869995,35931600
2023-07-28,130.970001,134.070007,130.919998,133.009995,133.009995,26971000
2023-07-31,133.009995,133.830002,132.130005,133.110001,133.110001,18381900
2023-08-01,130.854996,132.919998,130.750000,131.889999,131.889999,22154300
2023-08-02,129.839996,130.419998,127.849998,128.639999,128.639999,22705800
2023-08-03,128.369995,129.770004,127.775002,128.770004,128.770004,15018100
2023-08-04,129.600006,131.929993,128.315002,128.539993,128.539993,20509500
2023-08-07,129.509995,132.059998,129.429993,131.940002,131.940002,17621000
2023-08-08,130.979996,131.940002,130.130005,131.839996,131.839996,16836000
2023-08-09,132.190002,132.470001,129.505005,130.149994,130.149994,17745200
2023-08-10,131.970001,132.647003,130.035004,130.210007,130.210007,17855700
2023-08-11,129.201996,130.440002,128.750000,130.169998,130.169998,15191500
2023-08-14,129.850006,131.910004,129.589996,131.830002,131.830002,17526200
2023-08-15,131.589996,131.990005,129.819000,130.270004,130.270004,14769200
2023-08-16,129.279999,130.897995,128.460007,129.110001,129.110001,17548400
2023-08-17,130.449997,132.490997,129.850006,130.460007,130.460007,23665600
2023-08-18,129.059998,129.830002,127.000000,128.110001,128.110001,23619400
